Initializing cache
    new inotifyFd = 4
        markCacheSlotEmpty: slot = 0;  wd = 0; path = 
        markCacheSlotEmpty: slot = 1;  wd = 0; path = 
        markCacheSlotEmpty: slot = 2;  wd = 0; path = 
        markCacheSlotEmpty: slot = 3;  wd = 0; path = 
        markCacheSlotEmpty: slot = 4;  wd = 0; path = 
        markCacheSlotEmpty: slot = 5;  wd = 0; path = 
        markCacheSlotEmpty: slot = 6;  wd = 0; path = 
        markCacheSlotEmpty: slot = 7;  wd = 0; path = 
        markCacheSlotEmpty: slot = 8;  wd = 0; path = 
        markCacheSlotEmpty: slot = 9;  wd = 0; path = 
        markCacheSlotEmpty: slot = 10;  wd = 0; path = 
        markCacheSlotEmpty: slot = 11;  wd = 0; path = 
        markCacheSlotEmpty: slot = 12;  wd = 0; path = 
        markCacheSlotEmpty: slot = 13;  wd = 0; path = 
        markCacheSlotEmpty: slot = 14;  wd = 0; path = 
        markCacheSlotEmpty: slot = 15;  wd = 0; path = 
        markCacheSlotEmpty: slot = 16;  wd = 0; path = 
        markCacheSlotEmpty: slot = 17;  wd = 0; path = 
        markCacheSlotEmpty: slot = 18;  wd = 0; path = 
        markCacheSlotEmpty: slot = 19;  wd = 0; path = 
        markCacheSlotEmpty: slot = 20;  wd = 0; path = 
        markCacheSlotEmpty: slot = 21;  wd = 0; path = 
        markCacheSlotEmpty: slot = 22;  wd = 0; path = 
        markCacheSlotEmpty: slot = 23;  wd = 0; path = 
        markCacheSlotEmpty: slot = 24;  wd = 0; path = 
        markCacheSlotEmpty: slot = 25;  wd = 0; path = 
        markCacheSlotEmpty: slot = 26;  wd = 0; path = 
        markCacheSlotEmpty: slot = 27;  wd = 0; path = 
        markCacheSlotEmpty: slot = 28;  wd = 0; path = 
        markCacheSlotEmpty: slot = 29;  wd = 0; path = 
        markCacheSlotEmpty: slot = 30;  wd = 0; path = 
        markCacheSlotEmpty: slot = 31;  wd = 0; path = 
        markCacheSlotEmpty: slot = 32;  wd = 0; path = 
        markCacheSlotEmpty: slot = 33;  wd = 0; path = 
        markCacheSlotEmpty: slot = 34;  wd = 0; path = 
        markCacheSlotEmpty: slot = 35;  wd = 0; path = 
        markCacheSlotEmpty: slot = 36;  wd = 0; path = 
        markCacheSlotEmpty: slot = 37;  wd = 0; path = 
        markCacheSlotEmpty: slot = 38;  wd = 0; path = 
        markCacheSlotEmpty: slot = 39;  wd = 0; path = 
        markCacheSlotEmpty: slot = 40;  wd = 0; path = 
        markCacheSlotEmpty: slot = 41;  wd = 0; path = 
        markCacheSlotEmpty: slot = 42;  wd = 0; path = 
        markCacheSlotEmpty: slot = 43;  wd = 0; path = 
        markCacheSlotEmpty: slot = 44;  wd = 0; path = 
        markCacheSlotEmpty: slot = 45;  wd = 0; path = 
        markCacheSlotEmpty: slot = 46;  wd = 0; path = 
        markCacheSlotEmpty: slot = 47;  wd = 0; path = 
        markCacheSlotEmpty: slot = 48;  wd = 0; path = 
        markCacheSlotEmpty: slot = 49;  wd = 0; path = 
        markCacheSlotEmpty: slot = 50;  wd = 0; path = 
        markCacheSlotEmpty: slot = 51;  wd = 0; path = 
        markCacheSlotEmpty: slot = 52;  wd = 0; path = 
        markCacheSlotEmpty: slot = 53;  wd = 0; path = 
        markCacheSlotEmpty: slot = 54;  wd = 0; path = 
        markCacheSlotEmpty: slot = 55;  wd = 0; path = 
        markCacheSlotEmpty: slot = 56;  wd = 0; path = 
        markCacheSlotEmpty: slot = 57;  wd = 0; path = 
        markCacheSlotEmpty: slot = 58;  wd = 0; path = 
        markCacheSlotEmpty: slot = 59;  wd = 0; path = 
        markCacheSlotEmpty: slot = 60;  wd = 0; path = 
        markCacheSlotEmpty: slot = 61;  wd = 0; path = 
        markCacheSlotEmpty: slot = 62;  wd = 0; path = 
        markCacheSlotEmpty: slot = 63;  wd = 0; path = 
        markCacheSlotEmpty: slot = 64;  wd = 0; path = 
        markCacheSlotEmpty: slot = 65;  wd = 0; path = 
        markCacheSlotEmpty: slot = 66;  wd = 0; path = 
        markCacheSlotEmpty: slot = 67;  wd = 0; path = 
        markCacheSlotEmpty: slot = 68;  wd = 0; path = 
        markCacheSlotEmpty: slot = 69;  wd = 0; path = 
        markCacheSlotEmpty: slot = 70;  wd = 0; path = 
        markCacheSlotEmpty: slot = 71;  wd = 0; path = 
        markCacheSlotEmpty: slot = 72;  wd = 0; path = 
        markCacheSlotEmpty: slot = 73;  wd = 0; path = 
        markCacheSlotEmpty: slot = 74;  wd = 0; path = 
        markCacheSlotEmpty: slot = 75;  wd = 0; path = 
        markCacheSlotEmpty: slot = 76;  wd = 0; path = 
        markCacheSlotEmpty: slot = 77;  wd = 0; path = 
        markCacheSlotEmpty: slot = 78;  wd = 0; path = 
        markCacheSlotEmpty: slot = 79;  wd = 0; path = 
        markCacheSlotEmpty: slot = 80;  wd = 0; path = 
        markCacheSlotEmpty: slot = 81;  wd = 0; path = 
        markCacheSlotEmpty: slot = 82;  wd = 0; path = 
        markCacheSlotEmpty: slot = 83;  wd = 0; path = 
        markCacheSlotEmpty: slot = 84;  wd = 0; path = 
        markCacheSlotEmpty: slot = 85;  wd = 0; path = 
        markCacheSlotEmpty: slot = 86;  wd = 0; path = 
        markCacheSlotEmpty: slot = 87;  wd = 0; path = 
        markCacheSlotEmpty: slot = 88;  wd = 0; path = 
        markCacheSlotEmpty: slot = 89;  wd = 0; path = 
        markCacheSlotEmpty: slot = 90;  wd = 0; path = 
        markCacheSlotEmpty: slot = 91;  wd = 0; path = 
        markCacheSlotEmpty: slot = 92;  wd = 0; path = 
        markCacheSlotEmpty: slot = 93;  wd = 0; path = 
        markCacheSlotEmpty: slot = 94;  wd = 0; path = 
        markCacheSlotEmpty: slot = 95;  wd = 0; path = 
        markCacheSlotEmpty: slot = 96;  wd = 0; path = 
        markCacheSlotEmpty: slot = 97;  wd = 0; path = 
        markCacheSlotEmpty: slot = 98;  wd = 0; path = 
        markCacheSlotEmpty: slot = 99;  wd = 0; path = 
        markCacheSlotEmpty: slot = 100;  wd = 0; path = 
        markCacheSlotEmpty: slot = 101;  wd = 0; path = 
        markCacheSlotEmpty: slot = 102;  wd = 0; path = 
        markCacheSlotEmpty: slot = 103;  wd = 0; path = 
        markCacheSlotEmpty: slot = 104;  wd = 0; path = 
        markCacheSlotEmpty: slot = 105;  wd = 0; path = 
        markCacheSlotEmpty: slot = 106;  wd = 0; path = 
        markCacheSlotEmpty: slot = 107;  wd = 0; path = 
        markCacheSlotEmpty: slot = 108;  wd = 0; path = 
        markCacheSlotEmpty: slot = 109;  wd = 0; path = 
        markCacheSlotEmpty: slot = 110;  wd = 0; path = 
        markCacheSlotEmpty: slot = 111;  wd = 0; path = 
        markCacheSlotEmpty: slot = 112;  wd = 0; path = 
        markCacheSlotEmpty: slot = 113;  wd = 0; path = 
        markCacheSlotEmpty: slot = 114;  wd = 0; path = 
        markCacheSlotEmpty: slot = 115;  wd = 0; path = 
        markCacheSlotEmpty: slot = 116;  wd = 0; path = 
        markCacheSlotEmpty: slot = 117;  wd = 0; path = 
        markCacheSlotEmpty: slot = 118;  wd = 0; path = 
        markCacheSlotEmpty: slot = 119;  wd = 0; path = 
        markCacheSlotEmpty: slot = 120;  wd = 0; path = 
        markCacheSlotEmpty: slot = 121;  wd = 0; path = 
        markCacheSlotEmpty: slot = 122;  wd = 0; path = 
        markCacheSlotEmpty: slot = 123;  wd = 0; path = 
        markCacheSlotEmpty: slot = 124;  wd = 0; path = 
        markCacheSlotEmpty: slot = 125;  wd = 0; path = 
        markCacheSlotEmpty: slot = 126;  wd = 0; path = 
        markCacheSlotEmpty: slot = 127;  wd = 0; path = 
        markCacheSlotEmpty: slot = 128;  wd = 0; path = 
        markCacheSlotEmpty: slot = 129;  wd = 0; path = 
        markCacheSlotEmpty: slot = 130;  wd = 0; path = 
        markCacheSlotEmpty: slot = 131;  wd = 0; path = 
        markCacheSlotEmpty: slot = 132;  wd = 0; path = 
        markCacheSlotEmpty: slot = 133;  wd = 0; path = 
        markCacheSlotEmpty: slot = 134;  wd = 0; path = 
        markCacheSlotEmpty: slot = 135;  wd = 0; path = 
        markCacheSlotEmpty: slot = 136;  wd = 0; path = 
        markCacheSlotEmpty: slot = 137;  wd = 0; path = 
        markCacheSlotEmpty: slot = 138;  wd = 0; path = 
        markCacheSlotEmpty: slot = 139;  wd = 0; path = 
        markCacheSlotEmpty: slot = 140;  wd = 0; path = 
        markCacheSlotEmpty: slot = 141;  wd = 0; path = 
        markCacheSlotEmpty: slot = 142;  wd = 0; path = 
        markCacheSlotEmpty: slot = 143;  wd = 0; path = 
        markCacheSlotEmpty: slot = 144;  wd = 0; path = 
